ablation,model,feature_count,numeric_feature_count,categorical_feature_count,removed_feature_count,threshold,val_best_f1,test_oracle_threshold,test_oracle_f1,test_roc_auc,test_average_precision,train_seconds,test_tuned_f1,test_tuned_precision,test_tuned_recall,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_pred_pos_rate,test_default_f1,test_default_precision,test_default_recall,test_default_tn,test_default_fp,test_default_fn,test_default_tp,test_default_pred_pos_rate,removed_group,removed_features,delta_f1_vs_rf_baseline,delta_auc_vs_rf_baseline
all_features,decision_tree,86,74,12,0,0.5163608645941089,0.15950920245398773,0.0,0.12215435868961688,0.5014576505088839,0.06992372622807085,0.125,0.12195121951219512,0.07042253521126761,0.45454545454545453,921,660,60,50,0.41986989946777054,0.12195121951219512,0.07042253521126761,0.45454545454545453,921,660,60,50,0.41986989946777054,,,,
remove_top3_rf_features,random_forest,83,71,12,3,0.4473310497707465,0.17449664429530198,0.43505065825991907,0.13151927437641722,0.5036858145017538,0.07840298870757662,2.264,0.12234042553191489,0.07165109034267912,0.41818181818181815,985,596,64,46,0.37965700768775873,0.09326424870466321,0.06521739130434782,0.16363636363636364,1323,258,92,18,0.16321703134240095,top3_rf_features,AvgMobileRevenue;TotalRevenue;ARPU,0.008175520669335606,-0.00036800644011281136
remove_group:geo_billing_zone,random_forest,68,63,5,18,0.46915090064044046,0.18259023354564755,0.4455443657355993,0.1276595744680851,0.5019061583577712,0.07326398213681659,2.316,0.11885245901639344,0.07671957671957672,0.2636363636363636,1232,349,81,29,0.2235363690124187,0.0955223880597015,0.07111111111111111,0.14545454545454545,1372,209,94,16,0.13305736250739209,geo_billing_zone,Billing_ZIP_norm;bg_zip_found;bg_place_count;bg_place_name;bg_admin1_name;bg_admin1_code;bg_admin2_name;bg_admin2_code;bg_admin3_name;bg_admin3_code;bg_latitude;bg_longitude;bg_geo_accuracy;bg_distance_sofia_km;bg_distance_plovdiv_km;bg_distance_varna_km;bg_distance_burgas_km;bg_min_big_city_distance_km,0.004687554153814152,-0.002147662584095378
remove_top5_rf_features,random_forest,81,69,12,5,0.44918101335293437,0.16442048517520216,0.42040452976480835,0.12727272727272726,0.5091081593927894,0.08214448201734229,2.088,0.11609498680738786,0.06790123456790123,0.4,977,604,66,44,0.38320520402128916,0.12121212121212122,0.08150470219435736,0.23636363636363636,1288,293,84,26,0.18864577173270256,top5_rf_features,AvgMobileRevenue;TotalRevenue;ARPU;Revenue_Per_Sub;Revenue_Per_Active,0.0019300819448085788,0.005054338450922846
all_features,random_forest,86,74,12,0,0.47401869351240294,0.17118997912317327,0.42942026240257575,0.125,0.5040538209418666,0.07247220242449633,2.439,0.11416490486257928,0.0743801652892562,0.24545454545454545,1245,336,83,27,0.21466587817859256,0.08595988538681948,0.06276150627615062,0.13636363636363635,1357,224,95,15,0.1413364872856298,,,,
remove_group:revenue_size,random_forest,73,61,12,13,0.4568692209686139,0.16091954022988506,0.4277093586757614,0.12500000000000003,0.501851532401817,0.07433134965712584,1.942,0.11386138613861387,0.0659025787965616,0.41818181818181815,929,652,64,46,0.4127735068007096,0.11479028697571744,0.07580174927113703,0.23636363636363636,1264,317,84,26,0.20283855706682435,revenue_size,Total_SUBs;AvgMobileRevenue;AvgFIXRevenue;TotalRevenue;ARPU;Mobile_Revenue_Ratio;Fixed_Revenue_Ratio;Revenue_Per_Sub;Revenue_Per_Active;Mobile_To_Fixed_Ratio;Fixed_To_Mobile_Ratio;Mobile_Only;Fixed_Only,-0.000303518723965418,-0.0022022885400495573
remove_group:public_demographics,random_forest,44,34,10,42,0.4680978130465098,0.18221258134490237,0.36577000668000076,0.12633305988515178,0.5181588177793112,0.07493255544685588,2.321,0.11210762331838565,0.0744047619047619,0.22727272727272727,1270,311,85,25,0.1986989946777055,0.10461538461538461,0.07906976744186046,0.15454545454545454,1383,198,93,17,0.12714370195150798,public_demographics,nsi_district_norm;nsi_municipality_norm;district_nsi_population_total;district_nsi_population_male;district_nsi_population_female;district_nsi_population_urban;district_nsi_population_rural;district_nsi_population_male_ratio;district_nsi_population_female_ratio;district_nsi_population_urban_ratio;district_nsi_population_rural_ratio;district_nsi_workage_population_total;district_nsi_under_working_age_total;district_nsi_under_working_age_urban;district_nsi_working_working_age_total;district_nsi_working_working_age_urban;district_nsi_over_working_age_total;district_nsi_over_working_age_urban;district_nsi_under_working_age_total_ratio;district_nsi_working_working_age_total_ratio;district_nsi_over_working_age_total_ratio;municipality_nsi_population_total;municipality_nsi_population_male;municipality_nsi_population_female;municipality_nsi_population_urban;municipality_nsi_population_rural;municipality_nsi_population_male_ratio;municipality_nsi_population_female_ratio;municipality_nsi_population_urban_ratio;municipality_nsi_population_rural_ratio;municipality_nsi_workage_population_total;municipality_nsi_under_working_age_total;municipality_nsi_under_working_age_urban;municipality_nsi_working_working_age_total;municipality_nsi_working_working_age_urban;municipality_nsi_over_working_age_total;municipality_nsi_over_working_age_urban;municipality_nsi_under_working_age_total_ratio;municipality_nsi_working_working_age_total_ratio;municipality_nsi_over_working_age_total_ratio;nsi_district_found;nsi_municipality_found,-0.0020572815441936287,0.014104996837444594
remove_group:subscriber_status,random_forest,77,65,12,9,0.4860358891113837,0.1818181818181818,0.43252368687295967,0.13567251461988303,0.5170490483583463,0.06963399664908715,2.24,0.1078838174273859,0.06989247311827956,0.23636363636363636,1235,346,84,26,0.21998817267888823,0.09925558312655088,0.06825938566552901,0.18181818181818182,1308,273,90,20,0.1732702542874039,subscriber_status,Active_subscribers;Not_Active_subscribers;Suspended_subscribers;Active_Ratio;Inactive_Ratio;Suspended_Ratio;Dormant_Ratio;Has_Inactive;Has_Suspended,-0.006281087435193386,0.012995227416479738
remove_top1_rf_features,random_forest,85,73,12,1,0.4993941138302354,0.1693121693121693,0.4225430285633812,0.1270536692223439,0.505244091771606,0.07904940762657645,2.373,0.10666666666666667,0.07547169811320754,0.18181818181818182,1336,245,90,20,0.15671200473092844,0.1078167115902965,0.07662835249042145,0.18181818181818182,1340,241,90,20,0.1543465405085748,top1_rf_features,AvgMobileRevenue,-0.00749823819591261,0.001190270829739437
remove_group:customer_profile,random_forest,82,73,9,4,0.5128464697314598,0.16927899686520376,0.42589032971367174,0.1242672919109027,0.5052900925766202,0.07315271861469465,2.399,0.1027190332326284,0.07692307692307693,0.15454545454545454,1377,204,93,17,0.13069189828503844,0.10215053763440861,0.07251908396946564,0.17272727272727273,1338,243,91,19,0.15493790656416323,customer_profile,CRM_PID_Value_Segment;EffectiveSegment;Billing_ZIP;KA_name,-0.01144587162995088,0.001236271634753594
